DrawDate,FirstPrize,FirstThree DigitsPrize,LastThreeDigitsPrize,LastTwoDigitsPrize
,,,,
1/8/2014,766391,,349 576 623 637,82
,,,,
16/7/2014,468728,,104 944 117 205,45
,,,,
1/7/2014,378477,,123 271 441 864,39
,,,,
16/6/2014,673920,,158 140 639 576,95
,,,,
1/6/2014,781198,,160 324 409 636,18
,,,,
16/5/2014,87523,,150 505 112 246,20
,,,,
2/5/2014,103297,,143 158 673 797,52
,,,,
16/4/2014,153406,,344 013 355 634,26
,,,,
1/4/2014,28866,,186 499 835 938,95
,,,,
16/3/2014,531404,,250 305 400 904,79
,,,,
1/3/2014,906318,,116 537 753 798,35
,,,,
16/2/2014,384245,,397 530 074 521,1
,,,,
1/2/2014,180149,,406 492 888 976,95
,,,,
16/1/2014,306902,,077 149 242 510,52
,,,,
30/12/2013,561072,,513 750 503 275,48
,,,,
16/12/2013,341767,,111 228 742 826,79
,,,,
1/12/2013,168795,,734 766 074 980,27
,,,,
16/11/2013,806925,,069 304 672 753,28
,,,,
1/11/2013,739804,,502 020 256 173,47
,,,,
16/10/2013,963289,,402 529 876 952,60
,,,,
1/10/2013,647882,,576 324 650 028,14
,,,,
16/9/2013,562684,,056 235 574 754,63
,,,,
1/9/2013,548123,,281 570 800 045,5
,,,,
16/8/2013,321327,,417 945 448 201,20
,,,,
1/8/2013,356435,,880 451 718 329,82
,,,,
16/7/2013,566996,,352 210 584 526,86
,,,,
1/7/2013,646905,,075 284 903 904,51
,,,,
16/6/2013,289673,,390 098 114 502,69
,,,,
1/6/2013,935489,,480 713 716 768,90
,,,,
16/5/2013,687125,,034 261 390 945,56
,,,,
2/5/2013,603458,,272 359 516 830,7
,,,,
16/4/2013,843846,,834 862 906 828,86
,,,,
1/4/2013,571688,,170 430 670 725,53
,,,,
16/3/2013,968433,,860 959 175 529,52
,,,,
1/3/2013,976241,,972 721 133 775,37
,,,,
16/2/2013,368257,,657 708 109 386,9
,,,,
1/2/2013,565566,,452 695 641 782,66
,,,,
16/1/2013,820981,,555 196 374 334,8
,,,,
30/12/2012,302358,,589 864 126 832,0
,,,,
16/12/2012,529524,,734 745 778 008,72
,,,,
1/12/2012,110443,,434 553 489 303,43
,,,,
16/11/2012,639500,,576 560 804 627,15
,,,,
1/11/2012,524694,,217 188 285 338,63
,,,,
16/10/2012,281343,,089 152 396 868,28
,,,,
1/10/2012,124025,,940 554 291 873,58
,,,,
16/9/2012,540143,,123 242 752 770,79
,,,,
1/9/2012,329997,,148 598 639 736,7
,,,,
16/8/2012,683877,,032 612 730 775,28
,,,,
1/8/2012,895590,,820 599 796 745,50
,,,,
16/7/2012,904050,,897 224 159 042,11
,,,,
1/7/2012,915900,,715 656 530 611,60
,,,,
16/6/2012,159373,,238 479 547 790,51
,,,,
1/6/2012,882727,,606 576 895 399,38
,,,,
16/5/2012,814418,,504 309 902 101,31
,,,,
2/5/2012,889501,,589 597 426 468,29
,,,,
16/4/2012,583470,,088 216 722 754,62
,,,,
1/4/2012,257562,,074 332 581 616,69
,,,,
16/3/2012,607064,,333 350 573 606,8
,,,,
1/3/2012,222518,,295 135 711 199,79
,,,,
16/2/2012,648684,,906 214 111 420,18
,,,,
1/2/2012,320605,,426 498 598 749,32
,,,,
16/1/2012,451445,,328 150 941 639,81
,,,,
30/12/2011,526402,,168 026 541 597,65
,,,,
16/12/2011,884178,,784 235 295 651,21
,,,,
1/12/2011,408147,,922 253 857 739,2
,,,,
16/11/2011,997777,,425 551 406 993,57
,,,,
1/11/2011,805540,,065 221 380 771,54
,,,,
16/10/2011,955756,,057 329 507 991,83
,,,,
1/10/2011,511052,,104 189 499 957,15
,,,,
16/9/2011,731198,,384 645 812 589,28
,,,,
1/9/2011,724533,,847 021 533 821,85
,,,,
16/8/2011,536960,,814 345 074 005,62
,,,,
1/8/2011,218756,,221 583 660 703,12
,,,,
16/7/2011,116556,,052 227 534 609,12
,,,,
1/7/2011,622953,,390 160 780 463,51
,,,,
16/6/2011,351276,,486 167 162 582,88
,,,,
1/6/2011,562370,,346 556 656 801,46
,,,,
16/5/2011,406417,,044 071 700 889,5
,,,,
2/5/2011,54136,,133 421 524 945,85
,,,,
16/4/2011,825988,,263 213 397 593,44
,,,,
1/4/2011,814931,,723 584 040 036,1
,,,,
16/3/2011,593331,,209 463 737 945,96
,,,,
1/3/2011,656037,,544 357 926 396,97
,,,,
16/2/2011,481746,,384 388 510 535,27
,,,,
1/2/2011,610089,,121 361 432 596,55
,,,,
16/1/2011,281062,,185 227 546 758,23
,,,,
30/12/2010,884112,,153 186 933 936,49
,,,,
16/12/2010,334380,,306 315 529 533,24
,,,,
1/12/2010,181752,,086 470 474 664,9
,,,,
16/11/2010,813993,,129 763 907 979,43
,,,,
